a's	-apple
ace	- (đánh bài) quân át, quân xì; điểm 1 (trên quân bài hay con súc sắc)- phi công xuất sắc (hạ được trên mười máy bay địch); vận động viên xuất sắc; người giỏi nhất (về cái gì...); nhà vô địch- (thể dục,thể thao) cú giao bóng thắng điểm; điểm thắng giao bóng (quần vợt)- chút xíu- (từ Mỹ,nghĩa Mỹ),  (thông tục) quân bài chủ cao nhất dành cho lúc cần đến (đen & bóng)- người bạn có thể dựa khi gặp khó khăn- phi công ưu tú nhất- người xuất sắc nhất trong những người xuất sắc- quân bài chủ cao nhất- giữ kín quân bài chủ cao nhất dành cho lúc cần- cắt quân át của ai bằng bài chủ- gạt được một đòn ác hiểm của ai
acephalous	- không có đầu- không có tướng, không có người cầm đầu; không chịu nhận ai là người cầm đầu- (thông tục) cụt đầu, bị chặt ngọn- thiếu âm đầu (câu thơ)
acerbate	- làm tăng, làm trầm trọng (bệnh, sự tức giận, sự đau đớn)- làm bực tức, làm cáu tiết, làm tức giận
acerbity	- vị chát, vị chua chát- tính chua chát, tính gay gắt (giọng nói...)
acerose	- (thực vật học) hình kim (lá thông, lá tùng...)
acerous	- (thực vật học) hình kim (lá thông, lá tùng...)
acervate	- (thực vật học) mọc thành chùm
acescent	- hoá chua; chua
acetate	- (hoá học) Axetat
acetic	- (hoá học) axetic; (thuộc) giấm
acetification	- sự hoá giấm; sự làm thành giấm
acetify	- làm thành giấm- hoá chua; hoá thành giấm
acetone	- axeton
acetous	- chua, có vị giấm
acetylene	- (hoá học) Axetylen
ache	- sự đau, sự nhức- đau, nhức, nhức nhối- (nghĩa bóng) đau đớn
achene	- (thực vật học) quả bế
achievable	- có thể đạt được, có thể thực hiện được
achieve	- đạt được, giành được- hoàn thành, thực hiện
achievement	- thành tích, thành tựu- sự đạt được, sự giành được; sự hoàn thành- huy hiệu, huy chương (để ghi nhớ một thành tích vẻ vang)
achilles	- A-sin (anh hùng cổ Hy lạp)
aching	- sự đau đớn (vật chất, tinh thần)
achlamydeous	- (thực vật học) không bao hoa, có hoa trần
achromatic	- (vật lý) tiêu sắc- không màu, không sắc
achromatism	- (vật lý) tính tiêu sắc- tính không màu, tính không sắc
achromatize	- (vật lý) làm tiêu sắc- làm thành không màu, làm thành không sắc
achromatous	- không màu, không sắc
achromous	- (vật lý) làm tiêu sắc- làm thành không màu, làm thành không sắc
acicular	- hình kim; kết tinh thành hình kim
acid	- (hoá học) Axit- chất chua- Axit- (nghĩa bóng) thử thách gay go- chua- chua cay, gay gắt; gắt gỏng
acid-proof	-resisting) - chịu axit
acid-resisting	-resisting) - chịu axit
acidic	- có tính chất axit
acidification	- (hoá học) sự axit hoá
acidifier	- (hoá học) chất axit hoá
acidify	- Axit hoá- thành axit, hoá chua
acidimeter	- cái đo axit
acidity	- tính axit; độ axit- vị chua
acidly	- chua chát, gay gắt
acidose	- (y học) sự nhiễm axit
acidulate	- làm cho hơi chua- pha axit
acidulated	- hơi chua- có pha axit
acidulous	- hơi chua- có pha axit- chua cay, gay gắt (lời nói)
aciform	- hình kim
ack emma	- (thông tục) (như) ante_meridiem- (thông tục) (như) air-mechanic
ack-ack	- súng cao su- tiếng súng cao xạ- sự bắn súng cao xạ
acknowledge	- nhận, thừa nhận, công nhận- báo cho biết đã nhận được- đền đáp; tỏ lòng biết ơn, cảm tạ
acknowledgement	- sự nhận, sự công nhận, sự thừa nhận- vật đền đáp, vật tạ ơn; sự đền đáp- sự báo cho biết đã nhận được (thư...)
acknowledgment	- sự nhận, sự công nhận, sự thừa nhận- vật đền đáp, vật tạ ơn; sự đền đáp- sự báo cho biết đã nhận được (thư...)
aclinic	- (vật lý) không nghiêng, vô khuynh
acme	- tột đỉnh, đỉnh cao nhất- (y học) thời kỳ nguy kịch nhất (của bệnh)
acock	- đội lệch (mũ)
acolyte	- (tôn giáo) thầy tu cấp dưới, thầy dòng, thầy tăng- người theo hầu
aconite	- (thực vật học) cây phụ tử
acorn	- (thực vật học) quả đầu
acotyledon	- (thực vật học) cây không lá mầm
acotyledonous	- (thực vật học) không lá mầm
acoumeter	- cái đo nghe
acoustic	- (thuộc) âm thanh; (thuộc) âm học- (thuộc) thính giác
acoustician	- nhà âm học
acoustics	- âm học- (số nhiều) độ vang âm (của một rạp hát, rạp chiếu bóng...)
acquaint	- làm quen- báo, cho biết, cho hay
acquaintance	- sự biết, sự hiểu biết- sự quen, sự quen biết- ((thường) số nhiều) người quen- người quen sơ sơ- bỏ rơi một người quen, lờ một người quen- cố làm quen bằng được với ai- (xem) speaking- (xem) strike
acquaintanceship	- sự quen biết
acquainted	- ((thường) + with) quen biết, quen thuộc (với)
acquest	- vật kiếm được, của cải làm ra- (pháp lý) của làm ra (không do thừa kế)
acquiesce	- bằng lòng, ưng thuận, đồng ý; bằng lòng ngầm, mặc nhận
acquiescence	- sự bằng lòng, sự ưng thuận, sự đồng ý; sự bằng lòng ngầm, sự mặc nhận- sự phục tùng
acquiescent	- bằng lòng, ưng thuận, đồng ý; bằng lòng ngầm, mặc nhận- phục tùng
acquire	- được, giành được, thu được, đạt được, kiếm được
acquirement	- sự được, sự giành được, sự thu được, sự đạt được, sự kiếm được- (số nhiều) điều học được, học thức, tài nghệ, tài năng (do trau giồi mà có, đối lại với thiên tư)
acquisition	- sự được, sự giành được, sự thu được, sự đạt được, sự kiếm được- cái giành được, cái thu nhận được
acquisitive	- thích trữ của, hám lợi- có thể học hỏi, có khả năng tiếp thu, có khả năng lĩnh hội
acquisitiveness	- tính thích trữ của, tính hám lợi- tính có thể học hỏi, khả năng tiếp thu, khả năng lĩnh hội
acquit	- trả hết, trang trải (nợ nần)- to acquit oneself of làm xong, làm trọn (nghĩa vụ, bổn phận...)- làm bổn phận mình, làm trọn phận mình; xử sự
acquittal	- sự trả xong nợ, sự trang trải xong nợ nần- sự tha tội, sự tha bổng, sự tuyên bố trắng án- sự làm trọn (bổn phận, trách nhiệm...)
acquittancce	- sự trả nợ, sự trang trải hết nợ nần- sự trang trải hết nợ nần- biên lai
acre	- mẫu Anh (khoảng 0, 4 hecta)- cánh đồng, đồng cỏ
acreage	- diện tích (tính theo mẫu Anh)
acrid	- hăng, cay sè- chua cay, gay gắt (lời nói, thái độ...)
acridity	- vị hăng, mùi hăng, mùi cay sè- sự chua cay, sừ gay gắt
acrimonious	- chua cay, gay gắt (lời nói, thái độ)
acrimony	- sự chua cay, sự gay gắt
acrobat	- người biểu diễn leo dây, người biểu diễn nhào lộn- nhà chính trị nghiêng ngả (dễ dàng thay đổi lập trường); nhà biện luận nghiêng ngả (dễ dàng thay đổi lập luận)
acrobatically	- tài tình, khéo léo
acrobatics	- thuật leo dây, thuật nhào lộn
acrobatism	- thuật leo dây, thuật nhào lộn
acrocarpous	- (thực vật học) có quả ở ngọn
acrogenous	- (thực vật học) sinh ở ngọn
acromegaly	- (y học) bệnh to cực
acronycal	- (thiên văn học) xuất hiện vào lúc chập tối (sao...)
acronychal	- (thiên văn học) xuất hiện vào lúc chập tối (sao...)
acronym	- từ (cấu tạo bằng) chữ đầu (của những từ khác) (ví dụ NATO,  radar...)
acropetal	- hướng ngọn
acrophobia	- (y học) chứng sợ nơi cao
acropolis	- vệ thành, thành phòng ngự (đặc biệt hay dùng để chỉ vệ thành của thành A-ten, thời cổ Hy lạp)
acrospore	- (thực vật học) bào tử ngọn
across	- qua, ngang, ngang qua- bắt chéo, chéo nhau, chéo chữ thập- qua, ngang, ngang qua- ở bên kia, ở phía bên kia- (xem) come- cãi nhau với ai- (xem) trun- (từ lóng) trả thù ai- đánh lừa ai- trừng phạt ai, sửa cho ai một trận
acrostic	- (thơ ca) chữ đầu- (thuộc) thể thơ chữ đầu, theo thể thơ chữ đầu
act	- hành động, việc làm, cử chỉ, hành vi- đạo luật- chứng thư- hồi, màn (trong vở kịch)- tiết mục (xiếc, ca múa nhạc...)- luận án, khoá luận- sắp sửa (làm gì)- khi đang hành động, quả tang- (từ lóng) khoe mẽ, nói khoe- đóng vai (kịch, chèo, tuồng, phim)- giả vờ, giả đò "đóng kịch" - hành động- cư xử, đối xử- giữ nhiệm vụ, làm công tác, làm- tác động, có tác dụng, có ảnh hưởng- đóng kịch, diễn kịch, thủ vai- (+ upon,  on) hành động theo, làm theo- (+ up to) thực hành cho xứng đáng với, hành động cho xứng đáng với
acting	- hành động- (sân khấu) nghệ thuật đóng kịch (kịch, phim, chèo, tuồng); sự thủ vai, sự đóng kịch- hành động- thay quyền, quyền
actinia	- (động vật học) hải quỳ
actiniae	- (động vật học) hải quỳ
actinic	- (vật lý),  (hoá học) quang hoá
actinism	- (vật lý),  (hoá học) tính quang hoá, độ quang hoá
actinium	- (hoá học) Actini
actinometer	- (vật lý) cái đo nhật xạ- (vật lý),  (hoá học) cái đo quang hoá
actinomorphic	- (sinh vật học) đối xứng toả tia
actinomorphous	- (sinh vật học) đối xứng toả tia
action	- hành động, hành vi; hoạt động; công việc, việc làm- tác động, tác dụng, ảnh hưởng- sự chiến đấu, trận đánh- việc kiện, sự tố tụng- sự diễn biến, quá trình diễn biến (của vở kịch)- động tác, dáng điệu, bộ điệu, bộ tịch- bộ máy, cơ cấu (đàn pianô, máy...); sự hoạt động của bộ máy- uỷ ban hành động- (quân sự) vị trí của quân đội trước khi bước vào chiến đấu- (xem) speak- kiện, thưa kiện
actionable	- có thể kiện
activate	- (hoá học); (sinh vật học) hoạt hoá, làm hoạt động- (vật lý) hoạt hoá, làm phóng xạ- (từ Mỹ,nghĩa Mỹ),  (quân sự) xây dựng và trang bị (một đơn vị)
activated	- đã hoạt hoá- đã làm phóng xạ
activation	- sự hoạt hoá- sự làm phóng xạ
active	- tích cực, hoạt động; nhanh nhẹn, linh lợi- thiết thực, thực sự; có hiệu lực, công hiệu- (ngôn ngữ học) chủ động- (quân sự) tại ngũ- (vật lý) hoạt động; phóng xạ- hoá hoạt động; có hiệu lực
actively	- tích cực hoạt động; nhanh nhẹn, linh lợi- có hiệu lực
activity	- sự tích cực, sự hoạt động, sự nhanh nhẹn, sự linh lợi- (số nhiều) hoạt động- phạm vi hoạt động- (vật lý),  (hoá học) tính hoạt động, độ hoạt động; tính phóng xạ, độ phóng xạ
actor	- diễn viên (kịch, tuồng, chèo, điện ảnh...); kép, kép hát- (từ hiếm,nghĩa hiếm) người làm (một việc gì)
actress	- nữ diễn viên, đào hát
actual	- thật sự, thật, thực tế, có thật- hiện tại, hiện thời; hiện nay
actualise	- thực hiện, biến thành hiện thực- (nghệ thuật) mô tả rất hiện thực
actuality	- thực tế, thực tại- (số nhiều) điều kiện hiện tại, điều kiện thực tế- (nghệ thuật) hiện thực
actualization	- sự thực hiện, sự biến thành hiện thực
actualize	- thực hiện, biến thành hiện thực- (nghệ thuật) mô tả rất hiện thực
actually	- thực sự, quả thật, đúng, quả là- hiện tại, hiện thời, hiện nay- ngay cả đến và hơn thế
actuary	- chuyên viên thống kê (tỷ lệ sinh đẻ, bệnh tật, thất nghiệp...)- (sử học) viên giữ sổ đăng ký; viên quản lý văn khế
actuate	- thúc đẩy, kích thích; là động cơ thúc đẩy (ai...)- phát động, khởi động
actuation	- sự thúc đẩy, sự kích thích- sự phát động, sự khởi động (máy)
acuity	- tính sắc nhọn (cái kim...); tính sắc bén, tính sắc sảo (lời nói, trí tuệ...)- (y học) độ kịch liệt (bệnh)
aculeate	- (thực vật học) có gai- (động vật học) có ngòi đốt- (nghĩa bóng) châm chọc, chua cay (lời nói)
acumen	- sự nhạy bén, sự nhạy cảm, sự thính- (thực vật học) mũi nhọn
acuminate	- (thực vật học) nhọn mũi
acupuncture	- (y học) thuật châm cứu
acute	- sắc, sắc bén, sắc sảo; nhạy, tinh, thính- buốt, gay gắc, kịch liệt, sâu sắc- (y học) cấp- (toán học) nhọn (góc)- cao; the thé (giọng, âm thanh)- (ngôn ngữ học) có dấu sắc
acuteness	- sự sắc; tính sắc bén, tính sắc sảo; tính nhạy, tính tinh, tính thính- sự buốt; tính gay gắt, tính kịch liệt, tính sâu sắc- (y học) tính cấp phát (bệnh)- (toán học) tính nhọn (góc)- tính cao; tính the thé (giọng)
ad	- (thông tục) (viết tắt) của advertisement
ad hoc	- đặc biệt- được sắp đặt trước cho mục đích đó
ad infinitum	- vô cùng, vô tận, không giới hạn, mãi mãi
ad interim	- ((viết tắt) a i) quyền, tạm quyền, tạm thời
ad valorem	- theo giá hàng
ad-lib	- (thông tục) ứng khẩu, cương- (từ Mỹ,nghĩa Mỹ),  (từ lóng) nói thêm, cương thêm (lời không có trong bản kịch); hát thêm, chơi thêm (nhạc không có trong bản nhạc)
adage	- cách ngôn, châm ngôn; ngạn ngữ
adagio	- (âm nhạc) khoan thai- (âm nhạc) nhịp khoan thai
adam	- A-dam (con người đầu tiên, thuỷ tổ loài người)- nước, nước lã- (giải phẫu) trái cổ- không biết mặt mũi như thế nào- tình trạng già yếu quá rồi (của người)
adamant	- kỉ cương- (thơ ca) cái cứng rắn, cái sắt đá- (từ cổ,nghĩa cổ) đá nam châm- cứng rắn, rắn như kim cương- sắt đá, gang thép
adamantine	- rắn như kim cương- (nghĩa bóng) cứng rắn, sắt đá, gang thép
adapt	- tra vào, lắp vào- phỏng theo, sửa lại cho hợp- làm thích nghi, làm thích ứng- thích nghi (với môi trường...)
adaptability	- tính có thể tra vào, tính có thể lắp vào- khả năng phỏng theo được, khả năng sửa lại được cho hợp- khả năng thích nghi, khả năng thích ứng
adaptable	- có thể tra vào, có thể lắp vào- có thể phỏng theo, có thể sửa lại cho hợp- có thể thích nghi, có thể thích ứng
adaptableness	- tính có thể tra vào, tính có thể lắp vào- khả năng phỏng theo được, khả năng sửa lại được cho hợp- khả năng thích nghi, khả năng thích ứng
adaptation	- sự tra vào, sự lắp vào- sự phỏng theo, sự sửa lại cho hợp- tài liệu viết phỏng theo, tài liệu sửa lại cho hợp- sự thích nghi
adapter	- người phỏng theo, người sửa lại cho hợp (tác phẩm văn học...)- người làm thích nghi, người làm thích ứng- (kỹ thuật) thiết bị tiếp hợp, ống nối, cái nắn điện
add	- ((thường) + up,  together) cộng- thêm vào, làm tăng thêm- nói thêm- (+ in) kế vào, tính vào, gộp vào- (xem) fire- miệng chửi tay đấm
addax	- (động vật học) linh dương sừng queo (Bắc Phi)
addenda	- phụ lục (của một cuốn sách); vật thêm vào, phần thêm vào
addendum	- phụ lục (của một cuốn sách); vật thêm vào, phần thêm vào
adder	- người cộng, máy cộng- rắn vipe- con chuồn chuồn
adder's tongue	- (thực vật học) cây lưỡi rắn (dương xỉ)
adder-spit	- (thực vật học) cây lưỡi rắn (dương xỉ)
addict	- người nghiện- nghiện- ham mê, say mê, miệt mài (làm việc, học tập, nghiên cứu)
addiction	- thói nghiện- sự ham mê, sự say mê
adding-machine	- máy cộng
addison's disease	- (y học) bệnh A-đi-sơn
addition	- (toán học) tính cộng; phép cộng; sự cộng lại- sự thêm, phần thêm
additional	- thêm vào, phụ vào, tăng thêm
additive	- để cộng vào, để thêm vào- vật để cộng vào, vật để thêm vào- (kỹ thuật) chất cho thêm vào (vào dầu máy...)
addle	- lẫn, quẫn, rối trí- thối, hỏng, ung (trứng)- làm lẫn, làm quẫn, làm rối óc- làm thối, làm hỏng, làm ung- lẫn, quẫn, rối (trí óc)- thối, hỏng, ung (trứng)
addle-brained	- đầu óc lẫn quẫn, quẫn trí, rối trí
addle-head	-pate) - người đầu óc lẫn quẫn
addle-pate	-pate) - người đầu óc lẫn quẫn
address	- địa chỉ- bài nói chuyện, diễn văn- cách nói năng; tác phong lúc nói chuyện- sự khéo léo, sự khôn ngoan- (số nhiều) sự ngỏ ý, sự tỏ tình, sự tán tỉnh- (thương nghiệp) sự gửi đi một chuyến tàu hàng- đề địa chỉ- gửi- xưng hô, gọi- nói với, nói chuyện với, diễn thuyết trước; viết cho- to address oneself to chăm chú, toàn tâm toàn ý- (thể dục,thể thao) nhắm
addressee	- người nhận (thư...)
adduce	- viện, viện dẫn (lý lẽ, thí dụ, bằng chứng...)
adduceable	- có thể viện dẫn (lý lẽ, thí dụ, bằng chứng...)
adducent	- (giải phẫu) khép (cơ)
adducible	- có thể viện dẫn (lý lẽ, thí dụ, bằng chứng...)
adduct	- (giải phẫu) khép (các cơ...)
adduction	- (giải phẫu) sự khép (cơ)- sự viện dẫn (lý lẽ, thí dụ, bằng chứng...)
addutor	- (giải phẫu) cơ khép
adenite	- (y học) viêm hạch
adenoids	- (y học) bệnh sùi vòm họng, bệnh V.A.
adept	- người giỏi, người tinh thông, người thông thạo, người lão luyện (nghề hay vấn đề gì)- (từ cổ,nghĩa cổ) nhà luyện đan thông thạo, nhà giả kim lão luyện- giỏi, thạo, tinh thông, lão luyện
adequacy	- sự đủ, sự đầy đủ- sự tương xứng, sự đứng đáng; sự thích hợp, sự thích đáng, sự thoả đáng
adequate	- đủ, đầy đủ- tương xứng, xứng đáng; thích hợp, thích đáng, thoả đáng
adequateness	- sự đủ, sự đầy đủ- sự tương xứng, sự đứng đáng; sự thích hợp, sự thích đáng, sự thoả đáng
adequation	- sự san bằng- vật tương đương; điều tương đương
adespota	- những tác phẩm khuyết danh
adhere	- dính chặt vào, bám chặt vào- tham gia, gia nhập- tôn trọng triệt để; trung thành với, gắn bó với; giữ vững- (từ cổ,nghĩa cổ) tán thành, đồng ý
adherence	- sự dính chặt, sự bám chặt- sự tham gia, sự gia nhập (đảng phái...)- sự tôn trọng triệt để; sự trung thành với, sự gắn bó với; sự giữ vững (ý kiến, lập trường...)
adherent	- người gia nhập đảng, đảng viên, môn đồ- người trung thành, người ủng hộ (học thuyết...)- dính chặt, bám chặt- dính liền với, có quan hệ chặt chẽ với
adherer	- người gia nhập đảng, đảng viên, môn đồ- người trung thành, người ủng hộ (học thuyết...)- dính chặt, bám chặt- dính liền với, có quan hệ chặt chẽ với
adhesion	- sự dính chặt vào, sự bám chặt vào- sự tham gia, sự gia nhập (một đảng phái)- sự trung thành với; sự giữ vững (ý kiến lập trường...)- sự tán đồng, sự đồng ý
adhesive	- dính, bám chắc- chất dính, chất dán
adhesiveness	- dính dính
adhibit	- ký (tên) vào; đóng (dấu) vào- đắp (thuốc), dán (cao...); cho uống (thuốc...)
adiabatic	- (vật lý) đoạn nhiệt
adiantum	- (thực vật học) cây đuôi chồn (dương xỉ)
adieu	- từ biệt!; vĩnh biệt!- lời chào từ biệt; lời chào vĩnh biệt
adipocere	- chất sáp mỡ (xác chết)
adipose	- mỡ động vật- béo, có mỡ
adiposis	- (y học) chứng phát phì
adiposity	- tình trạng béo phì, tình trạng phát phì
adit	- đường vào, lối vào- sự đến gần
adjacence	- sự gần kề, sự kế liền
adjacency	- sự gần kề, sự kế liền
adjacent	- gần kề, kế liền, sát ngay
adjectival	- (ngôn ngữ học) có tính chất tính từ; có chức năng tính từ
adjective	- phụ vào, thêm vào; lệ thuộc, không đứng một mình- (ngôn ngữ học) có tính chất tính từ; (thuộc) tính từ- (ngôn ngữ học) tính từ
adjoin	- nối liền, tiếp vào- gần kề với, tiếp giáp với- ở kế bên, tiếp giáp, nằm sát, sát vách
adjoining	- gần kề, kế bên, tiếp giáp, bên cạnh, sát nách
adjourn	- hoãn, hoãn lại, để lại- ngừng (buổi họp...) để sau họp lại- ngừng họp chung để họp riêng (từng ban...)- dời sang một nơi khác (để hội họp)
adjournment	- sự hoãn lại- sự dời sang một nơi khác (để hội họp); sự chuyển chỗ hội họp- sự ngừng họp (để sau này họp lại, hoặc để họp phân tán)
adjudge	- xử, xét xử, phân xử- kết án, tuyên án- cấp cho, ban cho
adjudgement	- sự xét sử, sự phân xử- sự kết án, sự tuyên án- sự cấp cho, sự ban cho
adjudgment	- sự xét sử, sự phân xử- sự kết án, sự tuyên án- sự cấp cho, sự ban cho
adjudicate	- xét xử (quan toà)- tuyên án
adjudication	- sự xét xử- sự tuyên án, quyết định của quan toà
adjudicator	- quan toà
